id,class,type,location,reference,latitude,longitude
1075217,Outdoor Furniture,Drinking Fountain,Royal Park,"86m South of City of Melbourne, Ryder Pavilions, Royal Park, 750 Park Street, Parkville, 3052",-37.77845421707277, 144.95603509792244
1075228,Outdoor Furniture,Drinking Fountain,Bourke Street,"Swanston Street and Elizabeth Street approximately 8m SE of Myer Melbourne, Gnd - Levels 2,5 & 7, Part Levels 4 & 6, 314-336 Bourke Street, Melbourne, 3000",-37.813892178607055, 144.9641120868484
1075229,Outdoor Furniture,Drinking Fountain,Bourke Street,"Swanston Street and Elizabeth Street approximately 7m NW of David Jones, 299 Bourke Street, Melbourne, 3000",-37.81386555249958, 144.96475087670643
1075230,Outdoor Furniture,Drinking Fountain,Bourke Street,"Swanston Street and Elizabeth Street approximately 11m North of Sportsgirl, Shop 23, 283 Bourke Street, Melbourne, 3000",-37.81370900165242, 144.96521920731234
1075231,Outdoor Furniture,Drinking Fountain,Queensbridge Square,"31m NE of Queensbridge Square, 1A Queens Bridge Street, Southbank, 3006",-37.82099191418598, 144.9617423793966
1075232,Outdoor Furniture,Drinking Fountain,Macarthur Square,"31m North of 71 Macarthur Place South, Carlton, 3053",-37.79825505675542, 144.9705660670761
1075233,Outdoor Furniture,Drinking Fountain,Yarra Park,"36m South of 106 Jolimont Road, East Melbourne, 3002",-37.81840304050843, 144.97885934809221
1075236,Outdoor Furniture,Drinking Fountain,Hardy Reserve,Hardy Reserve,-37.78528312570061, 144.96618877508342
1110846,Outdoor Furniture,Barbeque,Princes Park,Princes Park,-37.785038996971224, 144.96222644314096
1110847,Outdoor Furniture,Barbeque,Princes Park,Princes Park,-37.78507620578955, 144.96242901615196
1110848,Outdoor Furniture,Barbeque,Royal Park,Royal Park,-37.786811624350314, 144.95295080957254
1110849,Outdoor Furniture,Barbeque,Bayswater Road Park,"41m South of 39 Bayswater Road, Kensington, 3031",-37.79375198566206, 144.92404057125708
1110855,Outdoor Furniture,Barbeque,Birrarung Marr,Birrarung Marr,-37.819821342236914, 144.97480170753713
1110856,Outdoor Furniture,Barbeque,Birrarung Marr,Birrarung Marr,-37.82009381572264, 144.97510314880833
1110857,Outdoor Furniture,Barbeque,Royal Park,"56m North of City of Melbourne, Ross Straw Field Pavilion, Royal Park, Oak Street, Parkville, 3052",-37.783058736135814, 144.94436043862848
1110859,Outdoor Furniture,Barbeque,Royal Park,"92m NW of City of Melbourne, Ross Straw Field Pavilion, Royal Park, Oak Street, Parkville, 3052",-37.78291658834687, 144.94362553123742
1110861,Outdoor Furniture,Barbeque,Fawkner Park,"89m North of City of Melbourne, Southern Pavilion, Fawkner Park, Commercial Road, South Yarra, 3141",-37.842387153356434, 144.98190820378719
1110868,Outdoor Furniture,Barbeque,Alexandra Park,Alexandra Park,-37.82785043366638, 144.98340504092684
1110870,Outdoor Furniture,Barbeque,Alexandra Park,Alexandra Park,-37.82773337690019, 144.98268472258306
